"band","trigram"
"Aerosmith","na na na"
"Aerosmith","na na na"
"Aerosmith","na na oooh"
"Aerosmith","na oooh oooh"
"Aerosmith","oooh oooh na"
"Aerosmith","oooh na na"
"Aerosmith","na na na"
"Aerosmith","na na na"
"Aerosmith","push play fna"
"Aerosmith","play fna fuckin"
"Aerosmith","push play fna"
"Aerosmith","play fna fuckin"
"Aerosmith","sweet leaf dreamer"
"Aerosmith","push play fna"
"Aerosmith","play fna fuckin"
"Aerosmith","push play fna"
"Aerosmith","play fna fuckin"
"Aerosmith","pimp daddy jack"
"Aerosmith","push play fna"
"Aerosmith","play fna fuckin"
"Aerosmith","push play fna"
"Aerosmith","play fna fuckin"
"Aerosmith","na na na"
"Aerosmith","na na na"
"Aerosmith","na na na"
"Aerosmith","na na fna"
"Aerosmith","na fna fuckin"
"Aerosmith","push play fuckin"
"Aerosmith","s'il vous plait"
"Aerosmith","vous plait fuckin"
"Aerosmith","greed maidens fair"
"Aerosmith","guillotines taking lives"
"Aerosmith","taking lives denied"
"Aerosmith","lives denied starch"
"Aerosmith","tossin turnin nightmares"
"Aerosmith","turnin nightmares burnin"
"Aerosmith","nightmares burnin dreams"
"Aerosmith","hand sailing ships"
"Aerosmith","deceive living times"
"Aerosmith","mares raising swords"
"Aerosmith","maidens fair sneer"
"Aerosmith","centuries deja vú"
"Aerosmith","died lordy lordy"
"Aerosmith","died tyler hudson"
"Aerosmith","tyler hudson finders"
"Aerosmith","hudson finders keepers"
"Aerosmith","finders keepers losers"
"Aerosmith","keepers losers weep"
"Aerosmith","42nd street bare"
"Aerosmith","street bare foot"
"Aerosmith","bare foot children"
"Aerosmith","foot children cryin"
"Aerosmith","caged bird fly"
"Aerosmith","bye yeah kiss"
"Aerosmith","memories hangin round"
"Aerosmith","hangin round yeah"
"Aerosmith","real nitty gritty"
"Aerosmith","home sweet home"
"Aerosmith","hot tail poon"
"Aerosmith","tail poon tang"
"Aerosmith","poon tang sweetheart"
"Aerosmith","tang sweetheart sweathog"
"Aerosmith","sweetheart sweathog ready"
"Aerosmith","beer home sweet"
"Aerosmith","home sweet home"
"Aerosmith","boss man's stuffin"
"Aerosmith","street home sweet"
"Aerosmith","home sweet home"
"Aerosmith","sweet home mama"
"Aerosmith","home sweet home"
"Aerosmith","street ruby red"
"Aerosmith","what'chor sweetheart desires"
"Aerosmith","pocket full'a rubbers"
"Aerosmith","tenderness yeah lay"
"Aerosmith","devil's horns baby"
"Aerosmith","fire baby now's"
"Aerosmith","legendary child rock"
"Aerosmith","wanna dance grab"
"Aerosmith","hot hoochie coo"
"Aerosmith","wheels start spinnin"
"Aerosmith","talking cheese cake"
"Aerosmith","real fat city"
"Aerosmith","aero delight threw"
"Aerosmith","squeaky clean body"
"Aerosmith","real fine dancer"
"Aerosmith","talking yeah yeah"
"Aerosmith","yeah yeah yeah"
"Aerosmith","yeah yeah yeah"
"Aerosmith","yeah yeah yeah"
"Aerosmith","yeah yeah yeah"
"Aerosmith","yeah yeah yeah"
"Aerosmith","yeah yeah yeah"
"Aerosmith","yeah yeah yeah"
"Aerosmith","yeah yeah yeah"
"Aerosmith","yeah yeah yeah"
"Aerosmith","yeah yeah yak"
"Aerosmith","yeah yak yak"
"Aerosmith","yak yak yak"
"Aerosmith","yak yak yak"
"Aerosmith","yak yak yak"
"Aerosmith","yak yak yak"
"Aerosmith","yak yak yak"
"Aerosmith","yak yak yak"
"Aerosmith","yak yak yak"
"Aerosmith","yak yak yaou"
"Aerosmith","saturday night singin"
"Aerosmith","rockin people stompin"
"Aerosmith","sing na na"
"Aerosmith","na na na"
"Aerosmith","na na na"
"Aerosmith","na na na"
"Aerosmith","na na na"
"Aerosmith","na na na"
"Aerosmith","na na na"
"Aerosmith","na na na"
"Aerosmith","na na na"
"Aerosmith","na na johnny"
"Aerosmith","started thinkin bout"
"Aerosmith","promise loose change"
"Aerosmith","loose change clover"
"Aerosmith","poor mama pacin"
"Aerosmith","sing na na"
"Aerosmith","na na na"
"Aerosmith","na na na"
"Aerosmith","na na na"
"Aerosmith","na na sing"
"Aerosmith","na sing na"
"Aerosmith","sing na na"
"Aerosmith","na na na"
"Aerosmith","na na na"
"Aerosmith","na na na"
"Aerosmith","na na ohhh"
"Aerosmith","na ohhh yeah"
"Aerosmith","lay yeah introduce"
"Aerosmith","gonna tumble blades"
"Aerosmith","tumble blades gonna"
"Aerosmith","blades gonna flash"
"Aerosmith","street gangs clash"
"Aerosmith","lightning strikes zip"
"Aerosmith","strikes zip gun"
"Aerosmith","zip gun johnny's"
"Aerosmith","gun johnny's finger"
"Aerosmith","lid's gonna blow"
"Aerosmith","lightning strikes oooooh"
"Aerosmith","retreat gotta draw"
"Aerosmith","lightning strikes uum"
"Aerosmith","dog eat dog"
"Aerosmith","lightning strikes oooh"
"Aerosmith","retreat gotta draw"
"Aerosmith","funeral rights oooh"
"Aerosmith","rights oooh oooh"
"Aerosmith","lightning strikes can'tcha"
"Aerosmith","strikes can'tcha hear"
"Aerosmith","lightning strikes can'tcha"
"Aerosmith","strikes can'tcha hear"
"Aerosmith","lightning strikes can'tcha"
"Aerosmith","strikes can'tcha can'tcha"
"Aerosmith","can'tcha can'tcha can'tcha"
"Aerosmith","can'tcha can'tcha hear"
"Aerosmith","lightning strikes can'tcha"
"Aerosmith","strikes can'tcha can'tcha"
"Aerosmith","can'tcha can'tcha can'tcha"
"Aerosmith","can'tcha can'tcha hear"
"Aerosmith","lightning strikes can'tcha"
"Aerosmith","strikes can'tcha can'tcha"
"Aerosmith","can'tcha can'tcha can'tcha"
"Aerosmith","can'tcha can'tcha hear"
"Aerosmith","lightning strikes can'tcha"
"Aerosmith","strikes can'tcha can'tcha"
"Aerosmith","can'tcha can'tcha can'tcha"
"Aerosmith","can'tcha can'tcha hear"
"Aerosmith","strong wanna fight"
"Aerosmith","sittin round pick"
"Aerosmith","round pick yo"
"Aerosmith","strong wanna fight"
"Aerosmith","gotta love uh"
"Aerosmith","light bulb's gettin"
"Aerosmith","bulb's gettin dim"
"Aerosmith","tion complication aggravation"
"Aerosmith","tion complication aggravation"
"Aerosmith","edge yeah yeah"
"Aerosmith","yeah yeah yeah"
"Aerosmith","yeah yeah yeah"
"Aerosmith","yeah yeah yeah"
"Aerosmith","yeah yeah yeah"
"Aerosmith","yeah yeah yeah"
"Aerosmith","yeah yeah livin"
"Aerosmith","sweet bodacious stuff"
"Aerosmith","bodacious stuff ohhh"
"Aerosmith","penthouse pauper gonna"
"Aerosmith","real fast talker"
"Aerosmith","love affair gotta"
"Aerosmith","stairway honey kiss"
"Aerosmith","rainy day limousine"
"Aerosmith","day limousine teenage"
"Aerosmith","limousine teenage baby"
"Aerosmith","teenage baby send"
"Aerosmith","runs dry love"
"Aerosmith","fly bareback baby"
"Aerosmith","runs dry love"
"Aerosmith","questions bass drum"
"Aerosmith","bass drum beating"
"Aerosmith","hot damn house"
"Aerosmith","fire love lover's"
"Aerosmith","love lover's quarrels"
"Aerosmith","runs dry love"
"Aerosmith","time baby love"
"Aerosmith","times girl love"
"Aerosmith","times girl love"
"Aerosmith","times baby love"
"Aerosmith","lonliness paranoia feeds"
"Aerosmith","fire burnin slow"
"Aerosmith","fire burnin slow"
"Aerosmith","fire burnin slow"
"Aerosmith","major major barbra"
"Aerosmith","major barbra sits"
"Aerosmith","bright yellow sun"
"Aerosmith","grow ohh major"
"Aerosmith","yeah yeah yeah"
"Aerosmith","yeah yeah major"
"Aerosmith","yeah yeah yeah"
"Aerosmith","yeah yeah tyler"
"Aerosmith","laughin people bring"
"Aerosmith","earth lover keepin"
"Aerosmith","paradin keepin touch"
"Aerosmith","wag shootin fire"
"Aerosmith","fantasy sleeping late"
"Aerosmith","fantasy sleeping late"
"Aerosmith","fantasy sleeping late"
"Aerosmith","fantasy sleeping late"
"Aerosmith","street barefoot pullin"
"Aerosmith","mama's tattered coattails"
"Aerosmith","rat dogs existence"
"Aerosmith","cold night numbs"
"Aerosmith","jet black clouds"
"Aerosmith","black clouds roll"
"Aerosmith","guilt ridden life"
"Aerosmith","final door shuts"
"Aerosmith","drawn mother nature"
"Aerosmith","died battle lines"
"Aerosmith","drawn mother nature"
"Aerosmith","cold night numbs"
"Aerosmith","jet black clouds"
"Aerosmith","black clouds roll"
"Aerosmith","na na na"
"Aerosmith","na na na"
"Aerosmith","na na na"
"Aerosmith","na na hush"
"Aerosmith","loveliness gypsy dance"
"Aerosmith","jaw bone ah"
"Aerosmith","home sweet home"
"Aerosmith","sweet home rock"
"Aerosmith","bye sweet lady"
"Aerosmith","sweet lady gypsy"
"Aerosmith","lady gypsy blue"
"Aerosmith","bye sweet lady"
"Aerosmith","sweet lady soft"
"Aerosmith","divorce io repouise"
"Aerosmith","love ya baby"
"Aerosmith","love ya baby"
"Aerosmith","round yak yak"
"Aerosmith","yak yak yak"
"Aerosmith","yak yak yak"
"Aerosmith","yak yak ya"
"Aerosmith","wanna fall asleep"
"Aerosmith","moment forever forever"
"Aerosmith","wanna fall asleep"
"Aerosmith","time yeah yeah"
"Aerosmith","yeah yeah yeah"
"Aerosmith","yeah yeah yeah"
"Aerosmith","wanna fall asleep"
"Aerosmith","fortune teller looked"
"Aerosmith","em thin skinny"
"Aerosmith","thin skinny legs"
"Aerosmith","heah yeah popcorn"
"Aerosmith","yeah popcorn eah"
"Aerosmith","popcorn eah popcorn"
"Aerosmith","eah popcorn eah"
"Aerosmith","popcorn eah cheese"
"Aerosmith","eah cheese cake"
"Aerosmith","cheese cake eah"
"Aerosmith","cake eah cheese"
"Aerosmith","eah cheese cake"
"Aerosmith","ya baby eah"
"Aerosmith","baby eah eah"
"Aerosmith","eah eah uumm"
"Aerosmith","eah uumm uumm"
"Aerosmith","uumm uumm uum"
"Aerosmith","uumm uum eah"
"Aerosmith","uum eah listen"
"Aerosmith","em thin skinny"
"Aerosmith","thin skinny legs"
"Aerosmith","morning glory halleluh"
"Aerosmith","gettin worse life"
"Aerosmith","bunch baby catch"
"Aerosmith","baby catch ya"
"Aerosmith","catch ya round"
"Aerosmith","blees east house"
"Aerosmith","east house pinball"
"Aerosmith","house pinball wizard"
"Aerosmith","tilt bozo played"
"Aerosmith","floor trekkie makin"
"Aerosmith","trekkie makin warp"
"Aerosmith","makin warp speed"
"Aerosmith","door julio anpacolucci"
"Aerosmith","hey betty boop"
"Aerosmith","door junior achievers"
"Aerosmith","yeah east house"
"Aerosmith","east house pinball"
"Aerosmith","house pinball wizard"
"Aerosmith","tilt bozo played"
"Aerosmith","floor trekkie's makin"
"Aerosmith","trekkie's makin warp"
"Aerosmith","makin warp speed"
"Aerosmith","door julio anpacolucci"
"Aerosmith","mon ami sweeter"
"Aerosmith","smokes barbed wire"
"Aerosmith","track mind diamonds"
"Aerosmith","tyler perry frederiksen"
"Aerosmith","cool shu bop"
"Aerosmith","lives feelin lucky"
"Aerosmith","lives puss booty"
"Aerosmith","ten blood stains"
"Aerosmith","daddy's baby grand"
"Aerosmith","store bought clothes"
"Aerosmith","bought clothes fallin"
"Aerosmith","seams tealeaf readin"
"Aerosmith","tealeaf readin gypsies"
"Aerosmith","readin gypsies fortune"
"Aerosmith","gypsies fortune tellin"
"Aerosmith","holiday inn lock"
"Aerosmith","carriage stalemate jailbait"
"Aerosmith","stalemate jailbait ladies"
"Aerosmith","sweet talkin bar"
"Aerosmith","ladies disease slippin"
"Aerosmith","carriage ladies hold"
"Aerosmith","carriage nineteen seventy"
"Aerosmith","max's kansas city"
"Aerosmith","choir threw waters"
"Aerosmith","surprize midnight lady"
"Aerosmith","midnight lady situation"
"Aerosmith","lady situation fetal"
"Aerosmith","situation fetal vaccinate"
"Aerosmith","calomine flamingo boots"
"Aerosmith","flamingo boots soles"
"Aerosmith","roll junkie whore"
"Aerosmith","door knock knock"
"Aerosmith","knock knock knock"
"Aerosmith","knock knock knock"
"Aerosmith","knock knock knock"
"Aerosmith","knock knock nobody's"
"Aerosmith","knock nobody's keepin"
"Aerosmith","nobody's keepin score"
"Aerosmith","keepin score bad"
"Aerosmith","score bad times"
"Aerosmith","candy store rock"
"Aerosmith","roll corporation jelly"
"Aerosmith","corporation jelly roll"
"Aerosmith","jelly roll play"
"Aerosmith","everybody's screamin running"
"Aerosmith","sea holy lands"
"Aerosmith","fire shit piled"
"Aerosmith","richters red lines"
"Aerosmith","red lines stop"
"Aerosmith","fire shit piled"
"Aerosmith","debris california showtime"
"Aerosmith","news everybody's concubine"
"Aerosmith","late yeah woke"
"Aerosmith","walls somethin told"
"Aerosmith","blame fate ran"
"Aerosmith","pain cheated lied"
"Aerosmith","bogus honey coming"
"Aerosmith","bars venus girls"
"Aerosmith","head bricka bracka"
"Aerosmith","bricka bracka firecracker"
"Aerosmith","bracka firecracker sis"
"Aerosmith","firecracker sis boom"
"Aerosmith","sis boom bah"
"Aerosmith","head tyler kramer"
"Aerosmith","women's liberation sweet"
"Aerosmith","liberation sweet pandora"
"Aerosmith","sweet pandora godlike"
"Aerosmith","pandora godlike aura"
"Aerosmith","godlike aura smellin"
"Aerosmith","sweet pandora mama"
"Aerosmith","pandora mama crack"
"Aerosmith","finally dawning yeah"
"Aerosmith","dawning yeah yeah"
"Aerosmith","sedation yeah yeah"
"Aerosmith","late night freight"
"Aerosmith","firm situation yeah"
"Aerosmith","situation yeah yeah"
"Aerosmith","tyler supa ballard"
"Aerosmith","supa ballard pink"
"Aerosmith","flamingo coz pink"
"Aerosmith","kinda lingo pink"
"Aerosmith","favorite crayon yeah"
"Aerosmith","crayon yeah pink"
"Aerosmith","noticing twas connected"
"Aerosmith","feather feathers wings"
"Aerosmith","toys yeah rose"
"Aerosmith","boys dededudidudu talk"
"Aerosmith","rag doll livin"
"Aerosmith","movie hot tramp"
"Aerosmith","hot tramp daddy's"
"Aerosmith","rag doll baby"
"Aerosmith","bad boy mm"
"Aerosmith","babe's talkin real"
"Aerosmith","talkin real loud"
"Aerosmith","real loud talkin"
"Aerosmith","scene speak easy"
"Aerosmith","misery rag doll"
"Aerosmith","rag doll livin"
"Aerosmith","movie hot tramp"
"Aerosmith","hot tramp daddy's"
"Aerosmith","rag doll baby"
"Aerosmith","time tap dancing"
"Aerosmith","misery rag doll"
"Aerosmith","rag doll livin"
"Aerosmith","movie hot tramp"
"Aerosmith","hot tramp daddy's"
"Aerosmith","rag doll baby"
"Aerosmith","movin sloe gin"
"Aerosmith","sloe gin fizzy"
"Aerosmith","misery rag doll"
"Aerosmith","rag doll livin"
"Aerosmith","movie hot tramp"
"Aerosmith","hot tramp daddy's"
"Aerosmith","rag doll baby"
"Aerosmith","rag doll livin"
"Aerosmith","movie hot tramp"
"Aerosmith","hot tramp daddy's"
"Aerosmith","rag doll baby"
"Aerosmith","turnin yella nose"
"Aerosmith","connection losin money"
"Aerosmith","losin money gettin"
"Aerosmith","york city blues"
"Aerosmith","city blues east"
"Aerosmith","everything's rotten goin"
"Aerosmith","rotten goin insanin"
"Aerosmith","everthing's forgotten feelin"
"Aerosmith","forgotten feelin cozy"
"Aerosmith","feelin cozy rats"
"Aerosmith","cellar cheeks're rosy"
"Aerosmith","cheeks're rosy skin's"
"Aerosmith","rosy skin's turnin"
"Aerosmith","skin's turnin yella"
"Aerosmith","turnin yella lose"
"Aerosmith","york city blues"
"Aerosmith","city blues east"
"Aerosmith","york city blues"
"Aerosmith","city blues east"
"Aerosmith","called rattlesnake shake"
"Aerosmith","wanna roll lord"
"Aerosmith","home tonight lord"
"Aerosmith","mind baby hey"
"Aerosmith","shake yeah chuck"
"Aerosmith","reefer headed woman"
"Aerosmith","reefer headed woman"
"Aerosmith","headed woman lord"
"Aerosmith","reefer headed woman"
"Aerosmith","wanna roll lord"
"Aerosmith","home tonight lord"
"Aerosmith","shake yeah chuck"
"Aerosmith","rattlesnake shake repeat"
"Aerosmith","shake repeat chuck"
"Aerosmith","sand remember walking"
"Aerosmith","remember walking hand"
"Aerosmith","fingertips remember softly"
"Aerosmith","remember softly softly"
"Aerosmith","sand remember walking"
"Aerosmith","remember walking hand"
"Aerosmith","fingertips remember softly"
"Aerosmith","remember softly softly"
"Aerosmith","ooouu hey hey"
"Aerosmith","ground hey hey"
"Aerosmith","what'cha feel inside"
"Aerosmith","sad hey hey"
"Aerosmith","flame hey hey"
"Aerosmith","silly game hey"
"Aerosmith","game hey hey"
"Aerosmith","love baby inspiration"
"Aerosmith","gotta sing songs"
"Aerosmith","sing songs baby"
"Aerosmith","baby hey hey"
"Aerosmith","hey hey wait"
"Aerosmith","floor hey hey"
"Aerosmith","door yeah hey"
"Aerosmith","yeah hey hey"
"Aerosmith","middle east hey"
"Aerosmith","east hey hey"
"Aerosmith","piece hey hey"
"Aerosmith","what'cha feelin kinda"
"Aerosmith","feelin kinda sad"
"Aerosmith","fire hey hey"
"Aerosmith","choir hey hey"
"Aerosmith","ground hey hey"
"Aerosmith","sound hey hey"
"Aerosmith","sound bo diddley"
"Aerosmith","bo diddley money"
"Aerosmith","road runner aby"
"Aerosmith","road runner baby"
"Aerosmith","road runner baby"
"Aerosmith","road runner baby"
"Aerosmith","runner baby anywhere's"
"Aerosmith","love road runner"
"Aerosmith","road runner baby"
"Aerosmith","road runner baby"
"Aerosmith","live road runner"
"Aerosmith","road runner baby"
"Aerosmith","kinda saturday night"
"Aerosmith","real top manner"
"Aerosmith","top manner lies"
"Aerosmith","conniver heart pumpin"
"Aerosmith","heart pumpin floozy"
"Aerosmith","pumpin floozy late"
"Aerosmith","floozy late night"
"Aerosmith","late night driver"
"Aerosmith","hand clothes smiling"
"Aerosmith","daisy chain cover"
"Aerosmith","real top manner"
"Aerosmith","top manner lies"
"Aerosmith","conniver heart pumpin"
"Aerosmith","heart pumpin floozy"
"Aerosmith","pumpin floozy late"
"Aerosmith","floozy late night"
"Aerosmith","late night driver"
"Aerosmith","hand clothes smiling"
"Aerosmith","bends oooh close"
"Aerosmith","real top manner"
"Aerosmith","top manner lies"
"Aerosmith","conniver heart pumpin"
"Aerosmith","heart pumpin floozy"
"Aerosmith","pumpin floozy late"
"Aerosmith","floozy late night"
"Aerosmith","late night driver"
"Aerosmith","hand clothes smiling"
"Aerosmith","kinda saturday night"
"Aerosmith","real top manner"
"Aerosmith","top manner lies"
"Aerosmith","conniver heart pumpin"
"Aerosmith","heart pumpin floozy"
"Aerosmith","pumpin floozy late"
"Aerosmith","floozy late night"
"Aerosmith","late night driver"
"Aerosmith","hand clothes smiling"
"Aerosmith","daisy chain cover"
"Aerosmith","real top manner"
"Aerosmith","top manner lies"
"Aerosmith","conniver heart pumpin"
"Aerosmith","heart pumpin floozy"
"Aerosmith","pumpin floozy late"
"Aerosmith","floozy late night"
"Aerosmith","late night driver"
"Aerosmith","hand clothes smiling"
"Aerosmith","bends oooh close"
"Aerosmith","real top manner"
"Aerosmith","top manner lies"
"Aerosmith","conniver heart pumpin"
"Aerosmith","heart pumpin floozy"
"Aerosmith","pumpin floozy late"
"Aerosmith","floozy late night"
"Aerosmith","late night driver"
"Aerosmith","hand clothes smiling"
"Aerosmith","cheshire cat yea"
"Aerosmith","rocket 88 call"
"Aerosmith","rocket 88 light"
"Aerosmith","rockets glow gee"
"Aerosmith","glow gee suit"
"Aerosmith","rocket 88 honey"
"Aerosmith","red hot fireball"
"Aerosmith","boogie woogie flu"
"Aerosmith","boogie woogie flu"
"Aerosmith","boogie woogie flu"
"Aerosmith","woogie flu baby"
"Aerosmith","flu baby callin"
"Aerosmith","boogie woogie flu"
"Aerosmith","strangest feelin baby"
"Aerosmith","strangest feelin baby"
"Aerosmith","else's dreams lookit"
"Aerosmith","strangest feelin baby"
"Aerosmith","round stage coach"
"Aerosmith","stage coach lady"
"Aerosmith","coach lady hourglass"
"Aerosmith","lady hourglass body"
"Aerosmith","hourglass body makin"
"Aerosmith","lonely school boy"
"Aerosmith","salt lake city"
"Aerosmith","lake city salt"
"Aerosmith","city salt lickin"
"Aerosmith","salt lickin biddies"
"Aerosmith","lickin biddies bogus"
"Aerosmith","biddies bogus honey"
"Aerosmith","bogus honey stinkin"
"Aerosmith","bad lonely school"
"Aerosmith","lonely school boy"
"Aerosmith","mama katy chivalry"
"Aerosmith","bad lonely school"
"Aerosmith","lonely school boy"
"Aerosmith","low coincidental murder"
"Aerosmith","knockin doors start"
"Aerosmith","doors start lockin"
"Aerosmith","time connection change"
"Aerosmith","pain yayaya blues"
"Aerosmith","yayaya blues hearted"
"Aerosmith","blues hearted lady"
"Aerosmith","hearted lady sleepy"
"Aerosmith","sail fireflies dance"
"Aerosmith","roll shame shame"
"Aerosmith","shame shame shame"
"Aerosmith","babe shame shame"
"Aerosmith","shame shame shame"
"Aerosmith","baby lolita steady"
"Aerosmith","toot sweet powder"
"Aerosmith","nose shame shame"
"Aerosmith","shame shame shame"
"Aerosmith","babe shame shame"
"Aerosmith","shame shame shame"
"Aerosmith","babe hey smith"
"Aerosmith","hank pank pulling"
"Aerosmith","gonna spank shame"
"Aerosmith","spank shame shame"
"Aerosmith","baby shame shame"
"Aerosmith","shame shame shame"
"Aerosmith","babe joe perry"
"Aerosmith","joe perry oooh"
"Aerosmith","killer bee buzz"
"Aerosmith","night p.m.s bitchin"
"Aerosmith","p.m.s bitchin gotta"
"Aerosmith","shame shame shame"
"Aerosmith","babe shame shame"
"Aerosmith","shame shame shame"
"Aerosmith","shame shame shame"
"Aerosmith","shame shame shame"
"Aerosmith","baby bogus honey"
"Aerosmith","bogus honey square"
"Aerosmith","honey square dance"
"Aerosmith","square dance close"
"Aerosmith","dosey dosey shame"
"Aerosmith","dosey shame shame"
"Aerosmith","shame shame shame"
"Aerosmith","babe shame shame"
"Aerosmith","shame shame shame"
"Aerosmith","uncle stanley tryin"
"Aerosmith","hid shame shame"
"Aerosmith","shame shame shame"
"Aerosmith","babe shame shame"
"Aerosmith","shame shame shame"
"Aerosmith","miami vice shame"
"Aerosmith","vice shame shame"
"Aerosmith","shame shame shame"
"Aerosmith","babe shame shame"
"Aerosmith","shame shame shame"
"Aerosmith","shame shame shame"
"Aerosmith","shame shame shame"
"Aerosmith","shame shame shame"
"Aerosmith","shame shame shame"
"Aerosmith","baby brian holland"
"Aerosmith","brian holland lamont"
"Aerosmith","holland lamont dozier"
"Aerosmith","lamont dozier edward"
"Aerosmith","dozier edward holland"
"Aerosmith","baby running makes"
"Aerosmith","shame shame shame"
"Aerosmith","shame shame shame"
"Aerosmith","shame shame shame"
"Aerosmith","shame shame shame"
"Aerosmith","shame shame shame"
"Aerosmith","shame shame shame"
"Aerosmith","shame shame shame"
"Aerosmith","shame shame shame"
"Aerosmith","shame shame hey"
"Aerosmith","shame shame shame"
"Aerosmith","shame shame shame"
"Aerosmith","limousines yeah alright"
"Aerosmith","book lookin sharp"
"Aerosmith","hot tin roof"
"Aerosmith","tin roof sharpshooter"
"Aerosmith","roof sharpshooter thinkin"
"Aerosmith","goin downtown lookin"
"Aerosmith","downtown lookin mighty"
"Aerosmith","lookin mighty clean"
"Aerosmith","book feelin heat"
"Aerosmith","hot tin roof"
"Aerosmith","dead yeah sharpshooter"
"Aerosmith","yeah sharpshooter thinkin"
"Aerosmith","sharp lookin heat"
"Aerosmith","hot tin roof"
"Aerosmith","tease sharpshooter thinkin"
"Aerosmith","race sharpshooter sharpshooter"
"Aerosmith","sharpshooter sharpshooter sharpshooter"
"Aerosmith","sharpshooter sharpshooter sharpshooter"
"Aerosmith","sharpshooter sharpshooter sharpshooter"
"Aerosmith","sharpshooter sharpshooter sharpshooter"
"Aerosmith","sharpshooter sharpshooter sharpshooter"
"Aerosmith","sharpshooter sharpshooter sharpshooter"
"Aerosmith","sharpshooter sharpshooter sharpshooter"
"Aerosmith","sharpshooter sharpshooter sharpshooter"
"Aerosmith","sharpshooter sharpshooter sharpshooter"
"Aerosmith","sharpshooter sharpshooter sharpshooter"
"Aerosmith","sharpshooter sharpshooter sharpshooter"
"Aerosmith","sharpshooter sharpshooter baby"
"Aerosmith","sharpshooter baby oooh"
"Aerosmith","fire homely child"
"Aerosmith","yeah hungry girl"
"Aerosmith","fire shela shela"
"Aerosmith","hurricane shela shela"
"Aerosmith","chain shela shela"
"Aerosmith","knees yeah hotter"
"Aerosmith","yeah shela shela"
"Aerosmith","hurricane shela shela"
"Aerosmith","chain shela shela"
"Aerosmith","yeah shela real"
"Aerosmith","shela real tight"
"Aerosmith","real tight shela"
"Aerosmith","light goin downtown"
"Aerosmith","goin downtown goin"
"Aerosmith","city eatin ground"
"Aerosmith","eatin ground round"
"Aerosmith","ground round underground"
"Aerosmith","sore eyes playin"
"Aerosmith","pity takin fair"
"Aerosmith","takin fair square"
"Aerosmith","nitty nitty nitty"
"Aerosmith","nitty gritty turnin"
"Aerosmith","titty naked foul"
"Aerosmith","pretty gritty hey"
"Aerosmith","love lust hussy"
"Aerosmith","sittin pretty sight"
"Aerosmith","nitty gritty sight"
"Aerosmith","sore eyes sight"
"Aerosmith","sore eyes peeled"
"Aerosmith","leopard king sight"
"Aerosmith","sore eyes sight"
"Aerosmith","sore eyes sight"
"Aerosmith","sore eyes sight"
"Aerosmith","sore eyes sight"
"Aerosmith","sore eyes sight"
"Aerosmith","sore eyes sight"
"Aerosmith","sore eyes sight"
"Aerosmith","sore eyes sight"
"Aerosmith","sore eyes sight"
"Aerosmith","sore eyes sight"
"Aerosmith","sore eyes sight"
"Aerosmith","sore eyes sight"
"Aerosmith","sore eyes walkin"
"Aerosmith","ooo simoriah ooo"
"Aerosmith","simoriah ooo simoriah"
"Aerosmith","ooo simoriah ladies"
"Aerosmith","crazy ooo simoriah"
"Aerosmith","ooo simoriah ooo"
"Aerosmith","simoriah ooo simoriah"
"Aerosmith","ooo simoriah countin"
"Aerosmith","hair blue eyes"
"Aerosmith","fuckin dad walkin"
"Aerosmith","talkin black brainwashed"
"Aerosmith","step father hit"
"Aerosmith","verse 2 entertainment"
"Aerosmith","gun lonely cuz"
"Aerosmith","hey smokestack lightning"
"Aerosmith","called yo dad"
"Aerosmith","called yo mama"
"Aerosmith","baby yeah yeah"
"Aerosmith","repeat tyler emspack"
"Aerosmith","bloody call woman"
"Aerosmith","call woman woman"
"Aerosmith","sorrow misery enjoys"
"Aerosmith","misery enjoys company"
"Aerosmith","tyler perry frederiksen"
"Aerosmith","perry frederiksen cyberotic"
"Aerosmith","frederiksen cyberotic head"
"Aerosmith","cyberotic head explode"
"Aerosmith","head explode information"
"Aerosmith","explode information overload"
"Aerosmith","gonna break something's"
"Aerosmith","break something's gotta"
"Aerosmith","digerotic mass appeal"
"Aerosmith","mass appeal feels"
"Aerosmith","gonna break something's"
"Aerosmith","break something's gotta"
"Aerosmith","lived something's gotta"
"Aerosmith","railway station destination"
"Aerosmith","railway station destination"
"Aerosmith","steel earth unreal"
"Aerosmith","stay papa died"
"Aerosmith","papa died ma"
"Aerosmith","died ma survived"
"Aerosmith","ma survived tellin"
"Aerosmith","disappears twenty million"
"Aerosmith","brain synthesize overrides"
"Aerosmith","synthesize overrides tryin"
"Aerosmith","unreal uuuh yeah"
"Aerosmith","uuuh yeah yea"
"Aerosmith","yeah yea spaced"
"Aerosmith","survive spiderman spiderman"
"Aerosmith","web spins surprise"
"Aerosmith","spins surprise catches"
"Aerosmith","surprise catches thieves"
"Aerosmith","strong listen bud"
"Aerosmith","bloody sword john"
"Aerosmith","sword john st"
"Aerosmith","john st john"
"Aerosmith","john st john"
"Aerosmith","bloody sword laid"
"Aerosmith","sword late night"
"Aerosmith","late night tv"
"Aerosmith","night tv roared"
"Aerosmith","tv roared fleetwood"
"Aerosmith","roared fleetwood mac"
"Aerosmith","fleetwood mac baby"
"Aerosmith","stop messin round"
"Aerosmith","stop messin round"
"Aerosmith","baby's cherry red"
"Aerosmith","stop messin round"
"Aerosmith","stop messin round"
"Aerosmith","baby's cherry red"
